epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,35.5291,0.71043,0.51083,1.58911,0.95498,0.66088,0.995,0.77689,0.95628,0.68704,2.57016,4.67309e-05,4.67309e-05,4.67309e-05
41,36.8304,0.66084,0.39946,1.23815,0.95385,0.65989,0.995,0.77175,0.96606,0.69714,2.57624,4.37632e-05,4.37632e-05,4.37632e-05
42,37.4967,0.70196,0.41838,1.59426,0.95385,0.65989,0.995,0.77175,0.96606,0.69714,2.57624,4.05872e-05,4.05872e-05,4.05872e-05
43,38.1268,0.74727,0.43922,1.59493,0.95605,0.66105,0.995,0.76465,0.95691,0.68329,2.638,3.72029e-05,3.72029e-05,3.72029e-05
44,38.7135,0.73359,0.52949,1.10148,0.95605,0.66105,0.995,0.76465,0.95691,0.68329,2.638,3.36103e-05,3.36103e-05,3.36103e-05
45,39.2965,0.753,0.41828,1.419,0.95795,0.66251,0.995,0.76425,0.95428,0.68199,2.67624,2.98095e-05,2.98095e-05,2.98095e-05
46,39.8578,0.73453,0.47142,1.58209,0.95795,0.66251,0.995,0.76425,0.95428,0.68199,2.67624,2.58003e-05,2.58003e-05,2.58003e-05
47,40.4305,0.68149,0.38352,1.33761,0.95757,0.66457,0.995,0.79766,0.95679,0.69275,2.67112,2.15828e-05,2.15828e-05,2.15828e-05
48,41.0619,0.70888,0.44386,1.54319,0.95757,0.66457,0.995,0.79766,0.95679,0.69275,2.67112,1.71571e-05,1.71571e-05,1.71571e-05
49,41.6548,0.66318,0.38666,1.33105,0.95947,0.66667,0.995,0.76412,0.95402,0.69034,2.72063,1.2523e-05,1.2523e-05,1.2523e-05
50,42.2026,0.71317,0.40584,1.38248,0.95947,0.66667,0.995,0.76412,0.95402,0.69034,2.72063,7.68065e-06,7.68065e-06,7.68065e-06
